,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
36373,36373,2019-01-22 04:27:58,4294930380592,fraud_Friesen-Stamm,gas_transport,51.34,Misty,Rivera,F,1980 Vasquez Manors Apt. 574,Catawba,VA,24070,37.3696,-80.1284,1363,Equality and diversity officer,1940-08-23,97899339254bc2902456852848057124,1327206478,38.009279,-79.149393,0,24440.0
56062,56062,2019-02-03 08:38:45,3581130339108561,fraud_Cummerata-Jones,gas_transport,63.34,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,f824c78ea2ec7ddfe4734c98aaae3fb8,1328258325,42.05745,-82.29603900000001,0,
964626,964626,2020-01-24 17:44:06,4890424426862856940,fraud_Auer LLC,personal_care,24.08,Jeremy,Whitney,M,0371 Aimee Neck Suite 856,Sacramento,CA,95827,38.5662,-121.3286,757530,Magazine features editor,1979-04-30,913acdf83caeda7b7264e491afa66c10,1359049446,37.58345,-121.217188,0,95385.0
1052735,1052735,2020-03-12 20:45:01,4788103653396,fraud_Champlin-Casper,home,64.11,Kristin,Williams,F,36366 Smith Road,Miamisburg,OH,45342,39.6321,-84.2675,36784,"Investment banker, corporate",1941-07-31,929e001a732102ac790e6456bc5a02b3,1363121101,40.386321,-84.465041,0,45860.0
1181095,1181095,2020-05-08 12:55:29,3575540972310993,fraud_Balistreri-Nader,misc_pos,8.81,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,2001-06-22,520c9f21b66c037ffc5b86fbc67e91e5,1368017729,33.844682,-90.393501,0,38928.0
836024,836024,2019-12-12 14:16:36,3521815216091574,fraud_Kilback and Sons,entertainment,69.54,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,80436,39.7532,-105.6356,565,Mental health nurse,1978-08-27,43616b0dec5d4189e234c95f20e73f8e,1355321796,40.632593,-106.060507,0,
21490,21490,2019-01-13 21:59:35,6011724471098086,fraud_Mayert Group,shopping_pos,29.62,Ann,Lawson,F,144 Evans Islands Apt. 683,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,1981-11-29,2266a1ed8ce5008af096a154759eb985,1326491975,46.26184,-119.861155,0,98930.0
280274,280274,2019-05-18 19:38:46,213180742685905,fraud_Sporer-Keebler,personal_care,128.87,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",1951-01-15,f07e4f7bd5c84d74940d57ea5edf5432,1337369926,39.840119,-123.138296,0,95428.0
905143,905143,2019-12-28 06:25:20,348789608637806,"fraud_Rowe, Batz and Goodwin",grocery_pos,103.05,Megan,Murphy,F,53696 Laura Radial,Holstein,NE,68950,40.4542,-98.6538,331,Telecommunications researcher,1950-08-19,a61a91eab95c5d6ab4e68776d517c3a6,1356675920,40.359885,-99.300725,0,68949.0
1205763,1205763,2020-05-18 23:55:05,6011399591920186,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,5.68,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,1973-10-14,55c1e03f337b180f0453890ae7b83990,1368921305,41.517093,-74.24291099999999,0,12549.0
353803,353803,2019-06-15 03:38:36,6597248210463122,fraud_Pfeffer LLC,grocery_net,17.92,Kyle,Wright,M,610 Samantha Park Suite 149,Whittemore,IA,50598,43.0261,-94.4064,912,Optometrist,1968-05-16,911b18c2de78b9e8f6f7a5536f469405,1339731516,42.985981,-95.107082,0,51343.0
677175,677175,2019-10-15 13:37:26,4681601008538160,fraud_Leannon-Ward,food_dining,3.19,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,f3a07d5d300cdc023558795e2e72d551,1350308246,40.105275,-81.562899,0,43749.0
1037174,1037174,2020-03-06 04:24:12,4761403817546679245,fraud_Cartwright-Harris,grocery_pos,74.68,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,fd0e6f4104acdf2941d0c8a8a28c6bec,1362543852,36.588712,-92.125849,0,65626.0
1007872,1007872,2020-02-18 07:15:00,4482427013979020,fraud_DuBuque LLC,grocery_pos,153.12,Leslie,Ford,F,4938 Hatfield Course,Henderson,WV,25106,38.8265,-82.1364,642,Building services engineer,1946-08-30,a69a5a012d2fc2b7612b8ab4c2c121a7,1361171700,38.465416,-81.181326,0,25030.0
440544,440544,2019-07-15 09:00:56,347073228412010,"fraud_Heller, Gutmann and Zieme",grocery_pos,104.23,Ryan,Johnson,M,40178 Lisa Mission,Alva,WY,82711,44.6873,-104.4414,110,"Administrator, local government",1973-05-16,0b35570448cd7fcc58490800bcd8426e,1342342856,43.762149,-103.468604,0,57730.0
19169,19169,2019-01-12 16:33:28,2288748891690227,fraud_Leffler-Goldner,personal_care,2.51,Kathleen,Heath,F,9297 Victor Rest Apt. 382,Albuquerque,NM,87116,35.0561,-106.5506,641349,Charity officer,1967-01-24,c50af2d67870bd524fe102ea6d44add6,1326386008,36.027054,-106.843324,0,87013.0
627896,627896,2019-09-23 18:17:51,341542810616333,fraud_Waters-Cruickshank,health_fitness,47.88,Billy,Mcdonald,M,304 Ryan Port Suite 335,Camden,MO,64017,39.2048,-94.0259,464,Colour technologist,1959-05-28,2bb25a3f5563d7575cf154fc86f0b021,1348424271,40.093707,-94.851209,0,64427.0
726364,726364,2019-11-06 11:04:59,30376238035123,fraud_Klocko LLC,misc_net,3.02,Cynthia,Davis,F,7177 Steven Forges,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,1928-10-01,4bce6bc2c66337606c21a27f0158a60a,1352199899,43.696614,-125.409407,0,
661599,661599,2019-10-08 18:10:03,344709867813900,"fraud_Hagenes, Kohler and Hoppe",food_dining,8.01,Joanna,Hudson,F,2924 Bobby Trafficway,Sebring,FL,33872,27.4703,-81.4872,50835,Environmental consultant,1986-01-30,1b5368e75d6cc4880f9a05bde9e4c583,1349719803,27.419664,-81.49828199999999,0,33875.0
639409,639409,2019-09-29 10:13:39,4005676619255478,fraud_Ruecker Group,misc_net,9.49,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,a4e454739a32d737d87dd1ab418e1b2f,1348913619,31.113717,-90.340711,0,39652.0
933385,933385,2020-01-05 23:53:14,30270432095985,"fraud_Terry, Johns and Bins",misc_pos,1.44,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,c1e77bace2ff80f3df509971bbab0422,1357429994,40.604236,-91.411555,0,52627.0
356173,356173,2019-06-15 20:32:35,573283817795,fraud_Weimann-Lockman,kids_pets,79.86,Amy,Flynn,F,46095 Tara Fords,Jaffrey,NH,3452,42.8178,-72.0275,5457,"Surveyor, hydrographic",1950-04-17,fdb40a5310c40862aa90942ae0fdd814,1339792355,42.186889,-72.261481,0,1069.0
264456,264456,2019-05-11 18:48:31,340951438290556,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,36.33,Maria,Garcia,F,865 Thomas Village,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02,c5b76f58c9d02ccce891a78a56ef6d2d,1336762111,41.217748,-73.106441,0,6461.0
613060,613060,2019-09-17 05:58:47,2475085306462014,fraud_Reynolds-Schinner,misc_pos,37.56,John,Miller,M,153 Mccullough Springs Apt. 857,Lamberton,MN,56152,44.2378,-95.2739,1507,Land/geomatics surveyor,1993-10-12,bb03410df3d108c2b6bba5355c307676,1347861527,43.508546,-95.699588,0,56117.0
200141,200141,2019-04-13 10:08:21,4358137750029944984,"fraud_Kohler, Lindgren and Koelpin",grocery_net,42.85,Dawn,Stephens,F,91542 Marissa Shores Apt. 053,Oran,IA,50664,42.7012,-92.0762,53,Sports administrator,1972-10-05,aa08c0cf7349dc6fb58447f900623042,1334311701,43.59905,-92.624394,0,55977.0
957081,957081,2020-01-19 19:32:48,3597337756918966,fraud_Bednar PLC,kids_pets,57.19,Linda,Gonzalez,F,17667 Price Spur Apt. 366,Glen Rock,PA,17327,39.7813,-76.7477,7565,Insurance claims handler,1952-03-08,2a777c6d2c0669a38fb71756f4b2d330,1358623968,39.85202,-76.921836,0,17354.0
589500,589500,2019-09-07 14:36:44,6550399784335736,fraud_Roob-Okuneva,health_fitness,156.18,Harry,Mckee,M,95351 Sullivan Viaduct Apt. 239,Port Charlotte,FL,33981,26.9379,-82.2388,79008,Quantity surveyor,1984-08-31,67bf1f5b28b7531ce5c91732c63119e4,1347028604,25.991843,-82.35551600000001,0,
946289,946289,2020-01-13 10:38:51,4277232699798846,fraud_Flatley-Durgan,misc_net,35.96,Jennifer,Vance,F,13299 Patrick Terrace,Rhame,ND,58651,46.1664,-103.7079,475,Illustrator,1955-11-10,83f1eee7efc057c41974708d4297d2e3,1358073531,46.885597,-104.002362,0,58621.0
407141,407141,2019-07-03 19:03:31,4961003488432306,"fraud_Moore, Williamson and Emmerich",home,7.65,Stacy,Walsh,F,324 Donna Ridge Suite 651,Cressona,PA,17929,40.6284,-76.195,1606,Ecologist,1966-05-10,b483236d750539a784c62c31a512513a,1341342211,40.48778,-76.14196899999999,0,19506.0
278453,278453,2019-05-18 02:05:50,30175986190993,fraud_Bauch-Raynor,grocery_pos,122.08,Rebecca,Butler,F,0665 Lisa Alley,Winger,MN,56592,47.5375,-95.9941,516,Applications developer,1966-06-07,492b36e99a1d94e23ebd612e2038eaf9,1337306750,46.547727,-95.622637,0,56576.0
60610,60610,2019-02-05 09:16:27,38057513087029,fraud_Heidenreich PLC,grocery_pos,48.57,Marissa,Clark,F,2677 Byrd Village Suite 035,San Jose,CA,95148,37.3304,-121.7913,973849,Geoscientist,1997-01-18,9a6c9923d8e8242348f80318da54a631,1328433387,36.92821,-121.628462,0,95004.0
883215,883215,2019-12-22 19:33:42,213112402583773,fraud_Swift PLC,kids_pets,16.78,Ana,Howell,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,40fff0645f2d7f05b7f90a0427c5afe0,1356204822,34.05993,-81.444061,0,29036.0
1272738,1272738,2020-06-12 21:13:24,4067137330196900,fraud_McCullough LLC,misc_pos,6.74,Christina,Eaton,F,3256 Brooks Field,Eldridge,AL,35554,33.9315,-87.6194,1186,Politician's assistant,1986-11-12,970e0b8a20f0ee6f6df3ed281af4027a,1371071604,33.406526,-88.14313299999999,0,35461.0
873485,873485,2019-12-21 03:17:14,571844099986,"fraud_Bins, Balistreri and Beatty",shopping_pos,8.46,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,c64ecc9712ce93022eefeece64924320,1356059834,37.504522,-84.862091,0,40437.0
830782,830782,2019-12-10 23:41:52,4906628655840914250,"fraud_Heathcote, Yost and Kertzmann",shopping_net,2.92,Charles,Moreno,M,838 Franklin Prairie Apt. 902,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,1987-02-13,ef37dea0a9976d70e8edd18e8d937dde,1355182912,24.675112,-81.19316500000001,0,33050.0
433322,433322,2019-07-13 09:42:11,3521815216091574,fraud_Harber Inc,gas_transport,72.88,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,80436,39.7532,-105.6356,565,Mental health nurse,1978-08-27,2fb631949c61b43c8b7def42d3cff51a,1342172531,39.352529,-105.375382,0,80470.0
1279295,1279295,2020-06-15 04:14:05,4635330563105903,fraud_Mante Group,misc_net,376.08,Christina,Rose,F,1984 Taylor Island Suite 836,Falls Church,VA,22046,38.8856,-77.1802,116155,Chartered accountant,1983-07-10,79967cc113e7357133f564d0775c40d9,1371269645,38.207692,-76.585431,0,20620.0
816655,816655,2019-12-08 06:59:30,4658490815480264,fraud_Bashirian Group,shopping_net,4.36,Tara,Richards,F,4879 Cristina Station,Keisterville,PA,15449,39.9636,-79.7853,184,Systems developer,1945-11-04,be19e93dd29acb45300f2f403d861469,1354949970,40.106251,-79.564675,0,15683.0
456938,456938,2019-07-21 13:51:34,3551217896304745,"fraud_Hintz, Bauch and Smith",health_fitness,38.42,Sara,Harris,F,597 Jenny Ford Apt. 543,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09,63021925557172a3b09c1f42b3e2721d,1342878694,43.379311,-74.313787,0,12190.0
330216,330216,2019-06-06 14:48:59,4208110975550360171,fraud_Gaylord-Powlowski,home,78.39,David,Bonilla,M,82073 Jessica Camp,West Green,GA,31567,31.6143,-82.7243,782,Audiological scientist,1982-01-16,54e8d197a342d4d7617f1c258119fe99,1338994139,31.963855,-81.966391,0,30427.0
883692,883692,2019-12-22 20:58:57,639023984367,"fraud_Dare, Fritsch and Zboncak",health_fitness,83.81,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05,c5d55b394cb00ab9755ad250f1b21708,1356209937,44.284974,-73.984356,0,12946.0
207186,207186,2019-04-15 18:06:59,375848982312810,fraud_Feil-Morar,health_fitness,152.51,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,1943-12-15,dfd6ce4dbbbe04bfdf0cf77a2ff95e95,1334513219,30.981784,-97.097545,0,76519.0
688724,688724,2019-10-20 20:46:50,4681601008538160,fraud_Streich Ltd,home,16.1,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,ac7caa9c27896c946f8df9d431c47b00,1350766010,38.917067,-81.460799,0,25270.0
764236,764236,2019-11-23 16:32:30,4586810168620942,fraud_Schoen-Quigley,kids_pets,70.6,Michelle,Gregory,F,6983 Carrillo Isle,Edisto Island,SC,29438,32.5486,-80.307,2408,"Sales professional, IT",1997-07-05,3cd08fe414a0409d30873b73de5b8a15,1353688350,32.493285,-79.324203,0,
19382,19382,2019-01-12 19:10:24,3531606252458308,fraud_Ruecker-Mayert,kids_pets,52.55,Juan,Taylor,M,7911 Campbell Crossing Apt. 725,Stoneham,MA,2180,42.4828,-71.0978,21437,Artist,1964-06-25,da04b57e3cb9acebe4b0bc799ca8a322,1326395424,42.276637,-72.027895,0,1535.0
734328,734328,2019-11-10 04:30:46,4239552724014407,fraud_Zboncak Ltd,food_dining,36.08,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141000000000005,-84.5722,6284,Secondary school teacher,1936-03-27,f8f56d3a39fff5388bad3052a0899e19,1352521846,40.435556,-85.32235,0,47348.0
906036,906036,2019-12-28 11:10:49,60423098130,"fraud_Daugherty, Pouros and Beahan",shopping_pos,8.95,Jason,Gray,M,875 Amy Point,Amorita,OK,73719,36.9412,-98.2458,83,Barrister's clerk,1958-07-28,3f05679a0960bc7f54c4521419dbeefc,1356693049,37.579627,-97.53253,0,67227.0
447622,447622,2019-07-18 08:05:22,4640395708703,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,100.77,Melissa,Krause,F,67632 Martin Gateway,Fordoche,LA,70732,30.6576,-91.6264,1178,Community education officer,1951-06-13,0bff36d794fb3f57e6d5409fe30817e8,1342598722,31.297154,-91.599314,0,
101060,101060,2019-02-28 08:56:44,30263540414123,fraud_McDermott-Rice,misc_pos,53.73,Erik,Patterson,M,162 Jessica Row Apt. 072,Hatch,UT,84735,37.7175,-112.4777,258,Geoscientist,1961-11-24,4192b9b1216cb1e6640f608e8936d716,1330505804,37.548837,-112.18453999999998,0,84717.0
1202424,1202424,2020-05-17 22:09:38,4777065439639721,fraud_Bednar PLC,kids_pets,46.35,Peter,Caldwell,M,08966 Beltran Route Suite 905,Oaks,PA,19456,40.1334,-75.4536,737,Oceanographer,1987-04-24,abb1d99a1d196c7a4a1dc14e080baa3d,1368828578,40.537633,-76.38365,0,17963.0
65737,65737,2019-02-08 19:08:45,377234009633447,fraud_Skiles LLC,home,9.62,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,1966-02-14,c4af7cb551b449ec96a33714b53e3175,1328728125,39.234132,-77.22839300000001,0,20876.0
285990,285990,2019-05-20 17:01:52,567868110212,fraud_Cartwright PLC,kids_pets,33.17,Dawn,Tucker,F,789 Herring Manors,Houston,TX,77007,29.7736,-95.4034,2906700,"Copywriter, advertising",1984-12-16,098f5cc2189fc1ae44fc277405ebcfc5,1337533312,29.509676,-96.061694,0,77435.0
437994,437994,2019-07-14 16:50:06,571365235126,fraud_Koelpin and Sons,misc_net,1.63,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,17960be956d892865ea41651c11a41f9,1342284606,45.173117,-86.75749499999999,0,
653810,653810,2019-10-05 20:39:00,577588686219,fraud_Johns-Hoeger,entertainment,70.88,James,Strickland,M,25454 Leonard Lake,Spring Church,PA,15686,40.6153,-79.4545,972,Public relations account executive,1997-10-23,61f0fc776941bd04146def19a5a72473,1349469540,41.11129,-79.51156,0,16255.0
916323,916323,2019-12-30 02:03:06,4777065439639721,fraud_Lockman Ltd,grocery_pos,92.57,Peter,Caldwell,M,08966 Beltran Route Suite 905,Oaks,PA,19456,40.1334,-75.4536,737,Oceanographer,1987-04-24,16135709ff4e5b5b612c14680643420a,1356832986,39.930248,-75.845999,0,19365.0
33020,33020,2019-01-20 17:19:30,4169759661243568,fraud_Streich Ltd,home,21.94,Jamie,Carr,F,55363 Aaron Circle Suite 450,Lawn,PA,17041,40.2236,-76.538,213,Special educational needs teacher,1972-02-15,f6c28cc83625ded6c01d04f7f75264b8,1327079970,40.614312,-76.3628,0,17981.0
1166368,1166368,2020-05-02 00:21:17,180094419304907,"fraud_Hayes, Marquardt and Dibbert",misc_net,48.01,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,419aafa5784e10876970c315346b2b70,1367454077,32.867302,-117.226467,0,92037.0
1081178,1081178,2020-03-24 18:52:33,4642255475285942,fraud_Schoen Ltd,kids_pets,22.24,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,5538e1ce33729b10ba5ad2b1c383deef,1364151153,39.783886,-109.315094,0,
1132951,1132951,2020-04-17 00:18:23,4469777115158234880,"fraud_Stroman, Hudson and Erdman",gas_transport,60.38,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,1980-11-22,c14da4b8f8a80cbf49bfeba45cb0bc20,1366157903,42.567711,-70.496725,0,1966.0
1131965,1131965,2020-04-16 12:45:49,4561546772499,fraud_Klein Group,entertainment,51.32,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",1988-08-04,6dca31573cd8ab1bf3c62e9e23b97880,1366116349,34.334557000000004,-106.138619,0,
948585,948585,2020-01-14 17:22:01,4716561796955522,fraud_Gleason and Sons,kids_pets,42.49,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,afa0bae845f3350acb3e4f756e97a35a,1358184121,48.02964,-112.156505,0,
79423,79423,2019-02-16 22:40:39,6011388901471808,fraud_Brown-Greenholt,entertainment,17.62,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,1951-02-05,8f9295cbbda6bac811f7df3637f287d4,1329432039,40.452549,-79.105451,0,15949.0
842782,842782,2019-12-14 07:06:19,377654590313960,fraud_Morar Inc,grocery_net,91.47,Lawrence,Davis,M,7421 Serrano Lane Apt. 580,Powell,TN,37849,36.0435,-84.04,25459,"Teacher, special educational needs",1969-02-22,20296a6c56bd30b7bf353b2a50c9f96e,1355468779,37.043412,-85.037399,0,42642.0
6500,6500,2019-01-05 05:38:32,3567879740649740,fraud_Koepp-Parker,grocery_pos,168.89,Tanya,Williams,F,566 Megan Well,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14,0e337361939c812a91a5f7f8f4be5957,1325741912,44.08882,-76.203236,0,13622.0
1058595,1058595,2020-03-15 17:44:56,345832460465610,fraud_Auer LLC,personal_care,66.89,Jason,Mcmahon,M,6385 Donald Square Suite 429,Springfield,VA,22151,38.8029,-77.2116,104396,Production engineer,1950-11-20,a39d1fc9b5303bb55e8db8b41998dc78,1363369496,37.928205,-77.454219,0,23047.0
129170,129170,2019-03-12 02:30:57,2288813824604479,fraud_Roob LLC,grocery_net,70.88,Barbara,Norman,F,6278 Stephanie Unions,New York City,NY,10039,40.8265,-73.9383,1577385,Herbalist,1981-08-29,661fba359d8912ec596d795fda1c9116,1331519457,41.592263,-73.847812,0,12533.0
461632,461632,2019-07-22 17:55:39,3512365128314616,"fraud_Moore, Williamson and Emmerich",home,3.16,Francisco,Kemp,M,9554 Flores Drive,Arnold,MO,63010,38.4305,-90.387,35439,Land/geomatics surveyor,1985-03-31,34950b4011d0391431ad0bea659bebb5,1342979739,37.865325,-90.283936,0,63036.0
1144243,1144243,2020-04-21 15:03:41,4181833256558613886,fraud_Ankunding-Carroll,travel,6.52,Jessica,Potter,F,7600 Stephen Course Suite 031,Red River,NM,87558,36.6659,-105.4694,606,"Surveyor, land/geomatics",1988-09-06,9e6908e07c2870436c21b1af718349d5,1366556621,37.128928,-106.369193,0,
